unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bolsa 130g,Gelatina UNIVERSAL Sabor a Limón Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,130.0,g,Gelatina UNIVERSAL Sabor a Limón Bolsa,3.99
Bolsa 180g,Gelatina BELL'S Sabor a Fresa Bolsa 180g,S/ 3.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,180.0,g,Gelatina BELL'S Sabor a Fresa Bolsa,3.6
Bolsa 20g,Gelatina Bebible UMSHA Fresa Bolsa 20g,S/ 1.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,20.0,g,Gelatina Bebible UMSHA Fresa Bolsa,1.6
Bolsa 160g,Gelatina ROYAL Sabor a Piña Bolsa 160g,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,160.0,g,Gelatina ROYAL Sabor a Piña Bolsa,5.0
Sobre 120g,Gelatina UMSHA Sabor a Limón Bolsa 120g,S/ 3.70 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,120.0,g,Gelatina UMSHA Sabor a Limón Bolsa,3.7
Bolsa 130g,Gelatina UNIVERSAL Sabor a Uva Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,130.0,g,Gelatina UNIVERSAL Sabor a Uva Bolsa,3.99
Bolsa 180g,Gelatina BELL'S Sabor a Piña Bolsa 180g,S/ 3.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,180.0,g,Gelatina BELL'S Sabor a Piña Bolsa,3.6
Tubo 100g,Pasta Dental SENSODYNE Repara y Protege Tubo 1...,S/ 22.20 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,100.0,g,Pasta Dental SENSODYNE Repara y Protege Tubo 1,22.2
Bolsa 1kg,Harina de Trigo NICOLINI Sin Preparar Bolsa 1K...,S/ 6.10 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina de Trigo NICOLINI Sin Preparar Bolsa 1K,6.1
Bolsa 180g,Gelatina BELL'S Sabor a Naranja Bolsa 180g,S/ 3.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,180.0,g,Gelatina BELL'S Sabor a Naranja Bolsa,3.6
Bolsa 19g,Gelatina UNIVERSAL Fresa con Stevia Bolsa 19g,S/ 5.10 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,19.0,g,Gelatina UNIVERSAL Fresa con Stevia Bolsa,5.1
Bolsa 160g,Gelatina ROYAL Sabor a Cereza Bolsa 160g,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,160.0,g,Gelatina ROYAL Sabor a Cereza Bolsa,5.0
Pack 2un,Pack Acondicionador con Keratina PANTENE Frasc...,S/ 49.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,2.0,un,Pack Acondicionador con Keratina PANTENE Frasc,49.9
Bolsa 130g,Gelatina UNIVERSAL Sabor a Durazno Bolsa 130g,S/ 3.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,130.0,g,Gelatina UNIVERSAL Sabor a Durazno Bolsa,3.99
Tubo 100g,Pasta Dental SENSODYNE Blanqueador Repara y Pr...,S/ 24.10 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,100.0,g,Pasta Dental SENSODYNE Blanqueador Repara y Pr,24.1
Bolsa 160g,Gelatina ROYAL Sabor a Naranja Bolsa 160g,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,160.0,g,Gelatina ROYAL Sabor a Naranja Bolsa,5.0
Bolsa 30g,Gelatina UNIVERSAL con Sabor a Fresa Extra Col...,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,30.0,g,Gelatina UNIVERSAL con Sabor a Fresa Extra Col,5.0
Bolsa 160g,Gelatina ROYAL Sabor a Limón Bolsa 160g,S/ 5 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,160.0,g,Gelatina ROYAL Sabor a Limón Bolsa,5.0
Paquete 1kg,Harina Preparada GRANO DE ORO Paquete 1Kg,S/ 6.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina Preparada GRANO DE ORO Paquete,6.99
Frasco 340ml,Shampoo SEDAL Keratina Frasco 340ml,S/ 12.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,340.0,ml,Shampoo SEDAL Keratina Frasco,12.9
Paquete 4un,Gelatina Lista LAIVE Yopi Sabor a Fresa Paquet...,S/ 8.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,4.0,un,Gelatina Lista LAIVE Yopi Sabor a Fresa Paquet,8.5
Blíster 12g,Polvo Decolorante Keratina SOL ECLAIR Blíster ...,S/ 11 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,12.0,g,Polvo Decolorante Keratina SOL ECLAIR Blíster,11.0
Frasco 340ml,Acondicionador SEDAL Keratina Frasco 340ml,S/ 12.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,340.0,ml,Acondicionador SEDAL Keratina Frasco,12.9
Frasco 300ml,Crema para Peinar PANTENE Keratina Frasco 300m...,S/ 19.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,300.0,ml,Crema para Peinar PANTENE Keratina Frasco 300m,19.9
Frasco 300ml,Shampoo sin sal' Cabello Seco PANTENE Keratina...,S/ 20.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,300.0,ml,Shampoo sin sal' Cabello Seco PANTENE Keratina,20.9
Bolsa 20un,Gelatina GOLOMANIA PEQUE TEMBLEQUE Sabores sur...,S/ 4.60 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,20.0,un,Gelatina GOLOMANIA PEQUE TEMBLEQUE Sabores sur,4.6
Frasco 1L,Shampoo SEDAL Keratina Frasco 1L,S/ 34.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,l,Shampoo SEDAL Keratina Frasco,34.9
Bolsa 1kg,Harina Sin Preparar GRANO DE ORO Bolsa 1Kg,S/ 6 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina Sin Preparar GRANO DE ORO Bolsa,6.0
Pack 3un,Pack PANTENE Crema para Peinar Keratina 300ml ...,S/ 46.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,3.0,un,Pack PANTENE Crema para Peinar Keratina,46.9
Frasco 200ml,Crema para Peinar TRESEMMÉ Keratina Antifrizz ...,S/ 19.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,200.0,ml,Crema para Peinar TRESEMMÉ Keratina Antifrizz,19.9
Frasco 880ml,Shampoo TRESEMMÉ Keratina Frasco 880ml,S/ 41.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,880.0,ml,Shampoo TRESEMMÉ Keratina Frasco,41.9
Frasco 510ml,Shampoo sin sal' Cabello Seco PANTENE Keratina...,S/ 30.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,510.0,ml,Shampoo sin sal' Cabello Seco PANTENE Keratina,30.9
Frasco 1L,"Shampoo KATIVA con Ácido Hialurónico, Keratina...",S/ 53.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,l,"Shampoo KATIVA con Ácido Hialurónico, Keratina",53.9
Frasco 300ml,Tratamiento Intensivo KATIVA Hialurónico Kerat...,S/ 29.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,300.0,ml,Tratamiento Intensivo KATIVA Hialurónico Kerat,29.9
Bandeja 550ml,Shampoo PANTENE Keratina Frasco 300ml + Acondi...,S/ 34.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,550.0,ml,Shampoo PANTENE Keratina Frasco  + Acondi,34.9
Frasco 250ml,Acondicionador KATIVA Keratina Frasco 250ml,S/ 19.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,250.0,ml,Acondicionador KATIVA Keratina Frasco,19.9
Frasco 1L,Shampoo KATIVA Keratina Frasco 1L,S/ 53.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,l,Shampoo KATIVA Keratina Frasco,53.9
Frasco 500ml,Acondicionador TRESEMMÉ Keratina Frasco 500ml,S/ 28.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,500.0,ml,Acondicionador TRESEMMÉ Keratina Frasco,28.9
Frasco 1L,"Acondicionador KATIVA con Ácido Hialurónico, K...",S/ 53.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,l,"Acondicionador KATIVA con Ácido Hialurónico, K",53.9
Botella 500ml,Cera líquida CHEMA Laminados y melaminas Gatil...,S/ 18.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,500.0,ml,Cera líquida CHEMA Laminados y melaminas Gatil,18.5
Frasco 250ml,Shampoo KATIVA Keratina Frasco 250ml,S/ 19.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,250.0,ml,Shampoo KATIVA Keratina Frasco,19.9
Paquete 4un,Gelatina Lista LAIVE Yopi Sabor a Piña Paquete...,S/ 8.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,4.0,un,Gelatina Lista LAIVE Yopi Sabor a Piña Paquete,8.5
Frasco 500ml,Shampoo TRESEMMÉ Keratina Frasco 500ml,S/ 28.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,500.0,ml,Shampoo TRESEMMÉ Keratina Frasco,28.9
Bolsa 38g,Gelatina UNIVERSAL Sabor a Fresa Extra Fibra B...,S/ 5.40 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,38.0,g,Gelatina UNIVERSAL Sabor a Fresa Extra Fibra B,5.4
Frasco 650ml,Shampoo SEDAL Keratina Frasco 650ml,S/ 23.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,650.0,ml,Shampoo SEDAL Keratina Frasco,23.9
Frasco 340ml,Shampoo HAPPY ANNE Extra Fortalecedor Keratina...,S/ 15.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,340.0,ml,Shampoo HAPPY ANNE Extra Fortalecedor Keratina,15.9
Pack 2un,Pack Shampoo PANTENE Keratina Frasco 300ml + A...,S/ 33.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,2.0,un,Pack Shampoo PANTENE Keratina Frasco  + A,33.5
Bolsa 36un,Gelatina GOLOMANIA Peque tembleque envase x 36...,S/ 9.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,36.0,un,Gelatina GOLOMANIA Peque tembleque envase x 36,9.9
Bolsa 1Kg,Harina sin Preparar BENOTI Bolsa 1Kg,S/ 5.99 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina sin Preparar BENOTI Bolsa,5.99
Frasco 1L,Acondicionador KATIVA Bálsamo de Keratina Fras...,S/ 53.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,l,Acondicionador KATIVA Bálsamo de Keratina Fras,53.9
Frasco 300ml,Crema para Peinar SEDAL Keratina Frasco 300ml,S/ 12 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,300.0,ml,Crema para Peinar SEDAL Keratina Frasco,12.0
Paquete 4un,Gelatina Lista LAIVE Yopi Sabor a Naranja Paqu...,S/ 8.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,4.0,un,Gelatina Lista LAIVE Yopi Sabor a Naranja Paqu,8.5
Botella 355ml,Shampoo Kativa Keratina Frasco 355ml,S/ 25.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,355.0,ml,Shampoo Kativa Keratina Frasco,25.9
Pote 300ml,Crema de Tratamiento Kativa Keratina Frasco 30...,S/ 29.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,300.0,ml,Crema de Tratamiento Kativa Keratina Frasco 30,29.9
Bolsa 1Kg,Harina Preparada BENOTI Paquete 1Kg,S/ 6.79 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,kg,Harina Preparada BENOTI Paquete,6.79
Frasco 250ml,Acondicionador PANTENE Keratina Tubo 250ml VIV,S/ 20.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,250.0,ml,Acondicionador PANTENE Keratina Tubo  VIV,20.9
Bandeja 550ml,Shampoo PANTENE Keratina Frasco 300ml + Acondi...,S/ 34.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,550.0,ml,Shampoo PANTENE Keratina Frasco  + Acondi,34.9
Frasco 510ml,Acondicionador PANTENE con Keratina Frasco 510...,S/ 30.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,510.0,ml,Acondicionador PANTENE con Keratina Frasco 510,30.9
Frasco 240ml,Crema para Peinar LANOSTERIN Keratina Frasco 2...,S/ 17.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,240.0,ml,Crema para Peinar LANOSTERIN Keratina Frasco 2,17.9
Frasco 250ml,Acondicionador KATIVA Post Alisado Keratina Fr...,S/ 19.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,250.0,ml,Acondicionador KATIVA Post Alisado Keratina Fr,19.9
Frasco 340ml,Acondicionador HAPPY ANNE Extra Fortalecedor K...,S/ 15.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,340.0,ml,Acondicionador HAPPY ANNE Extra Fortalecedor K,15.9
Vaso 1un,Copa Carlota con Gelatina,S/ 4.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1.0,un,Copa Carlota con Gelatina,4.9
Spray 175ml,Multipropósitos DOVE Reconstrucción Keratina S...,S/ 18.90 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,175.0,ml,Multipropósitos DOVE Reconstrucción Keratina S,18.9
Frasco 1150ml,Shampooo DOVE Reconstrucción Keratina Frasco 1...,S/ 40.50 un,plaza_vea,GELATINA (PARA PREPARAR),2024-12-04 14:34:42.153924,1150.0,ml,Shampooo DOVE Reconstrucción Keratina Frasco 1,40.5
